iso3,year,sstran,deficit,debt,ln_population,ln_gdppc,inflation_cpi,dependency_ratio,KOFGI,KOFEcGI,KOFTrGI,KOFFiGI,KOFSoGI,KOFIpGI,KOFInGI,KOFCuGI,KOFPoGI
AUS,1980,6.35402992911525,-2.278131844,,16.502813685921694,4.789221146501001,10.13584,,62.259674072265625,46.758670806884766,48.25004196166992,45.267303466796875,65.06698608398438,54.277915954589844,58.18846130371094,81.3804931640625,75.07083129882812
AUS,1981,6.34254520641419,-2.686287278,,16.51843162753205,4.800729091211559,9.487666,,62.19621276855469,47.319583892822266,47.26964569091797,47.36952209472656,64.9808120727539,54.54457092285156,58.19770431518555,80.88899993896484,74.40484619140625
AUS,1982,7.22121912846991,-3.736493816,,16.535769066822827,4.767873481989318,11.35182,,62.148006439208984,47.40879821777344,46.9373779296875,47.880218505859375,65.24598693847656,54.82587432861328,58.230247497558594,81.3724365234375,73.91900634765625
AUS,1983,7.42654181465935,-4.924803306,,16.54945408141061,4.777742952368239,10.03891,,62.40457534790039,48.22372817993164,46.59904479980469,49.84840774536133,65.25977325439453,54.880435943603516,58.252586364746094,81.34207916259766,73.84977722167969
AUS,1984,7.25043842328972,-4.871284992,,16.561459509067802,4.7780115473978775,3.960396,,62.43408203125,49.074951171875,46.90825653076172,51.24163818359375,65.31180572509766,55.151432037353516,58.289710998535156,81.21726989746094,73.0360336303711
AUS,1985,7.02252036415908,-4.894638821,,16.574780477414052,4.775064392146821,6.734694,,63.26380157470703,50.52632141113281,46.69877624511719,54.35386657714844,66.06095123291016,55.27991485595703,58.31379699707031,83.2335205078125,73.32139587402344
AUS,1986,6.86603856603088,-4.129357367,,16.589245498045326,4.763972069321209,9.05035,,63.626461029052734,51.57796096801758,46.5325927734375,56.62331771850586,66.30097198486328,55.316261291503906,58.33958053588867,83.86478424072266,73.11262512207031
AUS,1987,6.66118269035251,-2.376925475,,16.60445688708864,4.776297739722435,8.533022,,64.15422058105469,53.43999099731445,47.774600982666016,59.105384826660156,66.47518920898438,55.58049392700195,57.71466064453125,84.75625610351562,72.64505767822266
AUS,1988,6.16080156402737,-0.720072317,,16.620818374719406,4.761772597862604,7.21594,,65.45374298095703,54.389732360839844,47.35427474975586,61.425209045410156,67.0564193725586,55.629337310791016,58.3881721496582,85.70636749267578,74.98262023925781
AUS,1989,6.15636652063365,0.264842763801984,25.2294875421049,16.63774717165834,4.750930130417841,7.533903,,65.4062271118164,53.120140075683594,46.41739273071289,59.8228874206543,67.6506576538086,55.898258209228516,59.54254150390625,86.020751953125,75.54273223876953
AUS,1990,7.01318463301648,-0.532590012063659,26.3060301373903,16.652547641027308,4.710575618637135,7.333022,49.46812428753547,65.2745590209961,53.66544723510742,46.40730667114258,60.923580169677734,68.11078643798828,56.78614044189453,60.353370666503906,85.7537612915039,74.16756439208984
AUS,1991,7.95643545643546,-2.88189902432585,31.5525579944076,16.665293858882983,4.696036588642009,3.176675,49.61706801364452,66.93317413330078,53.983787536621094,46.629913330078125,61.33765411376953,67.69645690917969,56.85251235961914,59.29902648925781,85.55459594726562,79.15169525146484
AUS,1992,8.22346132287626,-4.25468424705066,34.439740920657,16.676489835897687,4.71012099072586,1.012231,49.811919085308006,68.47166442871094,54.47542190551758,47.982994079589844,60.967857360839844,68.4606704711914,57.129783630371094,60.78645706176758,86.01593017578125,82.47840881347656
AUS,1993,8.45982893893707,-2.83841883374379,39.4109621844401,16.68538523415327,4.7335094063348775,1.753653,49.98607712608749,69.53877258300781,56.29816436767578,49.5047721862793,63.09157180786133,68.60435485839844,57.35342025756836,61.03213119506836,85.98387908935547,83.67386627197266
AUS,1994,8.03656780532665,-2.66266672743922,39.4015422417615,16.695016159100053,4.739183479979496,1.969635,50.0950366169999,70.8473892211914,58.93675231933594,52.2287712097168,65.64472961425781,69.3932113647461,58.08275604248047,62.000789642333984,86.64378356933594,84.14997100830078
AUS,1995,8.07230669472124,-1.82783940009374,40.3991563818153,16.706153501308563,4.747579889513116,4.627767,50.10919567205799,71.51420593261719,59.803619384765625,52.700477600097656,66.9067611694336,70.35699462890625,58.372581481933594,64.69631958007812,86.46321105957031,84.33245849609375
AUS,1996,8.06822774918488,-0.813148820777729,37.231612103896,16.718292051140782,4.749262322135956,2.615385,50.0490001668879,71.54712677001953,61.398780822753906,53.95866775512695,68.83888244628906,71.21166229248047,59.85348129272461,64.66677856445312,87.65946960449219,82.0166244506836
AUS,1997,7.71145882832123,0.374763701807376,36.3083072329918,16.729112450336746,4.754717228175217,0.2248875,49.9340260684314,72.16880798339844,61.021087646484375,53.75394058227539,68.28824615478516,72.7566909790039,60.269046783447266,67.08676147460938,89.31863403320312,82.7536392211914
AUS,1998,7.62969860422929,2.22501627415927,33.6258826872685,16.73907979751476,4.771956941845173,0.8601346,49.79801208892475,72.91898345947266,61.684940338134766,54.300148010253906,69.06974029541016,73.90347290039062,59.96919631958008,69.846923828125,90.12098693847656,83.21031951904297
AUS,1999,7.74045760056981,2.90612137459478,26.1848617837518,16.75001955554418,4.7739750947561586,1.483129,49.63671924744891,74.2298355102539,64.75694274902344,56.54610824584961,72.96776580810547,74.86433410644531,60.79353332519531,71.29955291748047,90.71741485595703,83.0949935913086
AUS,2000,8.24114152914467,0.887457375726157,23.0704018496572,16.761464284058956,4.74914305863426,4.457435,49.45983714999612,75.4328842163086,64.15155792236328,56.69304656982422,71.61006927490234,75.98362731933594,60.832603454589844,73.2767562866211,91.93446350097656,86.18650817871094
AUS,2001,8.04247758597441,-0.148724214409146,22.7368812792198,16.77430396497169,4.768282674294978,4.407135,49.28683546190102,76.05842590332031,65.41980743408203,57.459869384765625,73.3797378540039,76.10472106933594,61.35780715942383,74.45672607421875,90.65532684326172,86.6527328491211
AUS,2002,7.79783042878417,1.71184806278777,20.462989571559,16.785679352333634,4.778742269194421,2.981575,49.07392786643059,75.52183532714844,64.22189331054688,57.8078727722168,70.63591003417969,76.67215728759766,62.59532165527344,74.81517028808594,90.8583755493164,85.71906280517578
AUS,2003,8.20494185205459,2.57578766814119,17.4267400920827,16.797181279665555,4.794771464526502,2.732596,48.84456173441219,76.51271057128906,66.43397521972656,57.75316619873047,75.11479187011719,77.17976379394531,63.462947845458984,75.15965270996094,91.2264633178711,85.95182800292969
AUS,2004,7.88715014014925,1.41811568785593,15.2033842641102,16.80787326088613,4.789294250621615,2.343255,48.6497650677502,76.32420349121094,65.91520690917969,56.341312408447266,75.48910522460938,77.98431396484375,64.47445678710938,75.85901641845703,91.967041015625,85.14075469970703
