iso3,year,sstran,deficit,debt,ln_population,ln_gdppc,inflation_cpi,dependency_ratio,KOFGI,KOFEcGI,KOFSoGI,KOFPoGI,ln_gdppc_lag1,ln_gdppc_lag2,ln_gdppc_lag3,deficit_lag1,deficit_lag2,deficit_lag3
AUS,1980,6.35402992911525,-2.278131844,,16.502813685921694,4.789221146501001,10.13584,,62.259674072265625,46.758670806884766,65.06698608398438,75.07083129882812,,,,,,
AUS,1981,6.34254520641419,-2.686287278,,16.51843162753205,4.800729091211559,9.487666,,62.19621276855469,47.319583892822266,64.9808120727539,74.40484619140625,4.789221146501001,,,-2.278131844,,
AUS,1982,7.22121912846991,-3.736493816,,16.535769066822827,4.767873481989318,11.35182,,62.148006439208984,47.40879821777344,65.24598693847656,73.91900634765625,4.800729091211559,4.789221146501001,,-2.686287278,-2.278131844,
AUS,1983,7.42654181465935,-4.924803306,,16.54945408141061,4.777742952368239,10.03891,,62.40457534790039,48.22372817993164,65.25977325439453,73.84977722167969,4.767873481989318,4.800729091211559,4.789221146501001,-3.736493816,-2.686287278,-2.278131844
AUS,1984,7.25043842328972,-4.871284992,,16.561459509067802,4.7780115473978775,3.960396,,62.43408203125,49.074951171875,65.31180572509766,73.0360336303711,4.777742952368239,4.767873481989318,4.800729091211559,-4.924803306,-3.736493816,-2.686287278
AUS,1985,7.02252036415908,-4.894638821,,16.574780477414052,4.775064392146821,6.734694,,63.26380157470703,50.52632141113281,66.06095123291016,73.32139587402344,4.7780115473978775,4.777742952368239,4.767873481989318,-4.871284992,-4.924803306,-3.736493816
AUS,1986,6.86603856603088,-4.129357367,,16.589245498045326,4.763972069321209,9.05035,,63.626461029052734,51.57796096801758,66.30097198486328,73.11262512207031,4.775064392146821,4.7780115473978775,4.777742952368239,-4.894638821,-4.871284992,-4.924803306
AUS,1987,6.66118269035251,-2.376925475,,16.60445688708864,4.776297739722435,8.533022,,64.15422058105469,53.43999099731445,66.47518920898438,72.64505767822266,4.763972069321209,4.775064392146821,4.7780115473978775,-4.129357367,-4.894638821,-4.871284992
AUS,1988,6.16080156402737,-0.720072317,,16.620818374719406,4.761772597862604,7.21594,,65.45374298095703,54.389732360839844,67.0564193725586,74.98262023925781,4.776297739722435,4.763972069321209,4.775064392146821,-2.376925475,-4.129357367,-4.894638821
AUS,1989,6.15636652063365,0.264842763801984,25.2294875421049,16.63774717165834,4.750930130417841,7.533903,,65.4062271118164,53.120140075683594,67.6506576538086,75.54273223876953,4.761772597862604,4.776297739722435,4.763972069321209,-0.720072317,-2.376925475,-4.129357367
AUS,1990,7.01318463301648,-0.532590012063659,26.3060301373903,16.652547641027308,4.710575618637135,7.333022,49.46812428753547,65.2745590209961,53.66544723510742,68.11078643798828,74.16756439208984,4.750930130417841,4.761772597862604,4.776297739722435,0.264842763801984,-0.720072317,-2.376925475
AUS,1991,7.95643545643546,-2.88189902432585,31.5525579944076,16.665293858882983,4.696036588642009,3.176675,49.61706801364452,66.93317413330078,53.983787536621094,67.69645690917969,79.15169525146484,4.710575618637135,4.750930130417841,4.761772597862604,-0.532590012063659,0.264842763801984,-0.720072317
AUS,1992,8.22346132287626,-4.25468424705066,34.439740920657,16.676489835897687,4.71012099072586,1.012231,49.811919085308006,68.47166442871094,54.47542190551758,68.4606704711914,82.47840881347656,4.696036588642009,4.710575618637135,4.750930130417841,-2.88189902432585,-0.532590012063659,0.264842763801984
AUS,1993,8.45982893893707,-2.83841883374379,39.4109621844401,16.68538523415327,4.7335094063348775,1.753653,49.98607712608749,69.53877258300781,56.29816436767578,68.60435485839844,83.67386627197266,4.71012099072586,4.696036588642009,4.710575618637135,-4.25468424705066,-2.88189902432585,-0.532590012063659
AUS,1994,8.03656780532665,-2.66266672743922,39.4015422417615,16.695016159100053,4.739183479979496,1.969635,50.0950366169999,70.8473892211914,58.93675231933594,69.3932113647461,84.14997100830078,4.7335094063348775,4.71012099072586,4.696036588642009,-2.83841883374379,-4.25468424705066,-2.88189902432585
AUS,1995,8.07230669472124,-1.82783940009374,40.3991563818153,16.706153501308563,4.747579889513116,4.627767,50.10919567205799,71.51420593261719,59.803619384765625,70.35699462890625,84.33245849609375,4.739183479979496,4.7335094063348775,4.71012099072586,-2.66266672743922,-2.83841883374379,-4.25468424705066
AUS,1996,8.06822774918488,-0.813148820777729,37.231612103896,16.718292051140782,4.749262322135956,2.615385,50.0490001668879,71.54712677001953,61.398780822753906,71.21166229248047,82.0166244506836,4.747579889513116,4.739183479979496,4.7335094063348775,-1.82783940009374,-2.66266672743922,-2.83841883374379
AUS,1997,7.71145882832123,0.374763701807376,36.3083072329918,16.729112450336746,4.754717228175217,0.2248875,49.9340260684314,72.16880798339844,61.021087646484375,72.7566909790039,82.7536392211914,4.749262322135956,4.747579889513116,4.739183479979496,-0.813148820777729,-1.82783940009374,-2.66266672743922
AUS,1998,7.62969860422929,2.22501627415927,33.6258826872685,16.73907979751476,4.771956941845173,0.8601346,49.79801208892475,72.91898345947266,61.684940338134766,73.90347290039062,83.21031951904297,4.754717228175217,4.749262322135956,4.747579889513116,0.374763701807376,-0.813148820777729,-1.82783940009374
AUS,1999,7.74045760056981,2.90612137459478,26.1848617837518,16.75001955554418,4.7739750947561586,1.483129,49.63671924744891,74.2298355102539,64.75694274902344,74.86433410644531,83.0949935913086,4.771956941845173,4.754717228175217,4.749262322135956,2.22501627415927,0.374763701807376,-0.813148820777729
AUS,2000,8.24114152914467,0.887457375726157,23.0704018496572,16.761464284058956,4.74914305863426,4.457435,49.45983714999612,75.4328842163086,64.15155792236328,75.98362731933594,86.18650817871094,4.7739750947561586,4.771956941845173,4.754717228175217,2.90612137459478,2.22501627415927,0.374763701807376
AUS,2001,8.04247758597441,-0.148724214409146,22.7368812792198,16.77430396497169,4.768282674294978,4.407135,49.28683546190102,76.05842590332031,65.41980743408203,76.10472106933594,86.6527328491211,4.74914305863426,4.7739750947561586,4.771956941845173,0.887457375726157,2.90612137459478,2.22501627415927
AUS,2002,7.79783042878417,1.71184806278777,20.462989571559,16.785679352333634,4.778742269194421,2.981575,49.07392786643059,75.52183532714844,64.22189331054688,76.67215728759766,85.71906280517578,4.768282674294978,4.74914305863426,4.7739750947561586,-0.148724214409146,0.887457375726157,2.90612137459478
AUS,2003,8.20494185205459,2.57578766814119,17.4267400920827,16.797181279665555,4.794771464526502,2.732596,48.84456173441219,76.51271057128906,66.43397521972656,77.17976379394531,85.95182800292969,4.778742269194421,4.768282674294978,4.74914305863426,1.71184806278777,-0.148724214409146,0.887457375726157
AUS,2004,7.88715014014925,1.41811568785593,15.2033842641102,16.80787326088613,4.789294250621615,2.343255,48.6497650677502,76.32420349121094,65.91520690917969,77.98431396484375,85.14075469970703,4.794771464526502,4.778742269194421,4.768282674294978,2.57578766814119,1.71184806278777,-0.148724214409146
AUS,2005,7.6128593366247,2.21287452950637,13.7230761577874,16.82004616819137,4.7828332086421455,2.691832,48.47529979336775,76.49794006347656,66.04878997802734,78.5787124633789,84.95062255859375,4.789294250621615,4.794771464526502,4.778742269194421,1.41811568785593,2.57578766814119,1.71184806278777
AUS,2006,7.37642822970681,2.47327507567376,12.4244343813112,16.833540676501258,4.782242765974778,3.555288,48.32967639982512,77.63919830322266,67.92086791992188,79.41261291503906,85.65557098388672,4.7828332086421455,4.789294250621615,4.794771464526502,2.21287452950637,1.41811568785593,2.57578766814119
AUS,2007,7.20268830284776,1.98621650580044,13.3615235038118,16.851790644454184,4.780375851440511,2.327611,48.218323272123484,78.4832763671875,69.18267059326172,79.59980773925781,86.71204376220703,4.782242765974778,4.7828332086421455,4.789294250621615,2.47327507567376,2.21287452950637,1.41811568785593
AUS,2008,8.75522517501809,-0.142557611306929,15.897235611425,16.87182975850661,4.783138163024782,4.350298,48.12539032511647,77.63873291015625,66.28236389160156,80.01063537597656,86.71770477294922,4.780375851440511,4.782242765974778,4.7828332086421455,1.98621650580044,2.47327507567376,2.21287452950637
AUS,2009,7.52390897339767,-4.30305509553157,21.8598648703181,16.892438090134338,4.826297057169206,1.771117,48.14825717096639,77.93733215332031,67.03274536132812,79.96669006347656,86.89306640625,4.783138163024782,4.780375851440511,4.782242765974778,-0.142557611306929,1.98621650580044,2.47327507567376
AUS,2010,7.36747643206945,-4.23492748446932,24.6024380675797,16.907995152754747,4.810520361946838,2.91834,48.36386111094089,78.66120147705078,67.1360855102539,81.6871109008789,87.27985382080078,4.826297057169206,4.783138163024782,4.780375851440511,-4.30305509553157,-0.142557611306929,1.98621650580044
AUS,2011,7.43094397556402,-3.89926429746126,29.1121197599573,16.921890425910927,4.8206801474510605,3.30385,48.768238322988275,78.64020538330078,66.65373992919922,82.10408782958984,87.29878997802734,4.810520361946838,4.826297057169206,4.783138163024782,-4.23492748446932,-4.30305509553157,-0.142557611306929
AUS,2012,7.50986651019892,-3.0421157680681,33.288546867157,16.939348625917663,4.821717791802769,1.76278,49.32897268983779,78.47832489013672,65.90496063232422,81.92555236816406,87.73930358886719,4.8206801474510605,4.810520361946838,4.826297057169206,-3.89926429746126,-4.23492748446932,-4.30305509553157
AUS,2013,7.64825086457917,-1.84738602807225,34.883894243631,16.956560140317556,4.819229472026049,2.449889,49.92436731239188,77.86768341064453,64.11442565917969,82.27861785888672,87.3822250366211,4.821717791802769,4.8206801474510605,4.810520361946838,-3.0421157680681,-3.89926429746126,-4.23492748446932
AUS,2014,7.744902765421,-1.75800390763898,38.6449264499087,16.97147580520884,4.810147102719961,2.487923,50.49106089988524,78.1998291015625,65.9477767944336,81.51107788085938,87.26980590820312,4.819229472026049,4.821717791802769,4.8206801474510605,-1.84738602807225,-3.0421157680681,-3.89926429746126
AUS,2015,7.68658687965721,-1.01963667936103,40.486277006074,16.98586797173483,4.803336991149812,1.508367,51.06330102940122,78.16665649414062,65.43988037109375,81.66016387939453,87.53618621826172,4.810147102719961,4.819229472026049,4.821717791802769,-1.75800390763898,-1.84738602807225,-3.0421157680681
AUS,2016,7.13382319055787,-1.55723071402733,43.0902850285734,17.001487376715872,4.797988483731964,1.276991,51.603445574586225,78.92789459228516,67.04703521728516,82.2500991821289,87.61621856689453,4.803336991149812,4.810147102719961,4.819229472026049,-1.01963667936103,-1.75800390763898,-1.84738602807225
AUS,2017,6.79234220662362,-0.625536782305774,44.1561768291905,17.017955654689374,4.7886360461504776,1.948647,52.042421492171165,79.29969024658203,67.56400299072266,82.39008331298828,88.06554412841797,4.797988483731964,4.803336991149812,4.810147102719961,-1.55723071402733,-1.01963667936103,-1.75800390763898
AUS,2018,6.50330017834777,-0.555046354825133,44.3572482090181,17.032915621793506,4.777980285276547,1.911401,52.44551516928038,79.2181625366211,67.0814437866211,83.0153579711914,87.70569610595703,4.7886360461504776,4.797988483731964,4.803336991149812,-0.625536782305774,-1.55723071402733,-1.01963667936103
AUS,2019,7.36638873511793,-1.20232635330553,46.4724467711761,17.04769052889935,4.7508328759630585,1.610768,52.91975843158956,79.53540802001953,67.02375793457031,83.91527557373047,87.83783721923828,4.777980285276547,4.7886360461504776,4.797988483731964,-0.555046354825133,-0.625536782305774,-1.55723071402733
