iso3,country,year,KOFGI,KOFEcGI,KOFTrGI,KOFFiGI,KOFSoGI,KOFIpGI,KOFIpGIdf,KOFIpGIdj,KOFInGI,KOFInGIdf,KOFInGIdj,KOFCuGI,KOFCuGIdf,KOFCuGIdj,KOFPoGI
AUS,Australia,1980,62.259674072265625,46.758670806884766,48.25004196166992,45.267303466796875,65.06698608398438,54.277915954589844,65.3105239868164,46.01458740234375,58.18846130371094,62.277503967285156,54.09940719604492,81.3804931640625,80.17951202392578,82.58147430419922,75.07083129882812
AUS,Australia,1981,62.19621276855469,47.319583892822266,47.26964569091797,47.36952209472656,64.9808120727539,54.54457092285156,65.28707885742188,46.501312255859375,58.19770431518555,62.277503967285156,54.11791229248047,80.88899993896484,80.20315551757812,81.57484436035156,74.40484619140625
AUS,Australia,1982,62.148006439208984,47.40879821777344,46.9373779296875,47.880218505859375,65.24598693847656,54.82587432861328,65.24504852294922,47.02520751953125,58.230247497558594,62.311885833740234,54.14860916137695,81.3724365234375,80.40489196777344,82.3399887084961,73.91900634765625
AUS,Australia,1983,62.40457534790039,48.22372817993164,46.59904479980469,49.84840774536133,65.25977325439453,54.880435943603516,65.20350646972656,47.151668548583984,58.252586364746094,62.313743591308594,54.19143295288086,81.34207916259766,80.59083557128906,82.09332275390625,73.84977722167969
AUS,Australia,1984,62.43408203125,49.074951171875,46.90825653076172,51.24163818359375,65.31180572509766,55.151432037353516,65.1359634399414,47.676719665527344,58.289710998535156,62.33662033081055,54.2428092956543,81.21726989746094,80.5884017944336,81.84613800048828,73.0360336303711
AUS,Australia,1985,63.26380157470703,50.52632141113281,46.69877624511719,54.35386657714844,66.06095123291016,55.27991485595703,65.07392883300781,47.94892120361328,58.31379699707031,62.32871627807617,54.29887008666992,83.2335205078125,80.78009796142578,85.68693542480469,73.32139587402344
AUS,Australia,1986,63.626461029052734,51.57796096801758,46.5325927734375,56.62331771850586,66.30097198486328,55.316261291503906,65.0365982055664,48.042354583740234,58.33958053588867,62.33271408081055,54.34645462036133,83.86478424072266,80.95877075195312,86.77080535888672,73.11262512207031
AUS,Australia,1987,64.15422058105469,53.43999099731445,47.774600982666016,59.105384826660156,66.47518920898438,55.58049392700195,65.00141906738281,48.5361213684082,57.71466064453125,62.29910659790039,53.13022232055664,84.75625610351562,81.31069946289062,88.2018051147461,72.64505767822266
AUS,Australia,1988,65.45374298095703,54.389732360839844,47.35427474975586,61.425209045410156,67.0564193725586,55.629337310791016,64.9894027709961,48.63711929321289,58.3881721496582,62.311485290527344,54.4648551940918,85.70636749267578,81.5035171508789,89.90921783447266,74.98262023925781
AUS,Australia,1989,65.4062271118164,53.120140075683594,46.41739273071289,59.8228874206543,67.6506576538086,55.898258209228516,64.97251892089844,49.12560272216797,59.54254150390625,65.5158920288086,53.56918716430664,86.020751953125,82.05059051513672,89.99090576171875,75.54273223876953
AUS,Australia,1990,65.2745590209961,53.66544723510742,46.40730667114258,60.923580169677734,68.11078643798828,56.78614044189453,66.41886138916016,49.6016731262207,60.353370666503906,65.7925033569336,54.91423416137695,85.7537612915039,82.45079040527344,89.0567398071289,74.16756439208984
AUS,Australia,1991,66.93317413330078,53.983787536621094,46.629913330078125,61.33765411376953,67.69645690917969,56.85251235961914,66.20122528076172,49.8887939453125,59.29902648925781,65.36924743652344,53.228816986083984,85.55459594726562,82.67059326171875,88.4385986328125,79.15169525146484
AUS,Australia,1992,68.47166442871094,54.47542190551758,47.982994079589844,60.967857360839844,68.4606704711914,57.129783630371094,66.26608276367188,50.33152389526367,60.78645706176758,66.62212371826172,54.95079040527344,86.01593017578125,83.18753051757812,88.84432983398438,82.47840881347656
AUS,Australia,1993,69.53877258300781,56.29816436767578,49.5047721862793,63.09157180786133,68.60435485839844,57.35342025756836,66.61580657958984,50.46803283691406,61.03213119506836,67.077392578125,54.98686599731445,85.98387908935547,83.43675231933594,88.53102111816406,83.67386627197266
