iso3,year,sstran,deficit,debt
AUS,1980,6.35402992911525,-2.278131844,
AUS,1981,6.34254520641419,-2.686287278,
AUS,1982,7.22121912846991,-3.736493816,
AUS,1983,7.42654181465935,-4.924803306,
AUS,1984,7.25043842328972,-4.871284992,
AUS,1985,7.02252036415908,-4.894638821,
AUS,1986,6.86603856603088,-4.129357367,
AUS,1987,6.66118269035251,-2.376925475,
AUS,1988,6.16080156402737,-0.720072317,
AUS,1989,6.15636652063365,0.264842763801984,25.2294875421049
AUS,1990,7.01318463301648,-0.532590012063659,26.3060301373903
AUS,1991,7.95643545643546,-2.88189902432585,31.5525579944076
AUS,1992,8.22346132287626,-4.25468424705066,34.439740920657
AUS,1993,8.45982893893707,-2.83841883374379,39.4109621844401
AUS,1994,8.03656780532665,-2.66266672743922,39.4015422417615
AUS,1995,8.07230669472124,-1.82783940009374,40.3991563818153
AUS,1996,8.06822774918488,-0.813148820777729,37.231612103896
AUS,1997,7.71145882832123,0.374763701807376,36.3083072329918
AUS,1998,7.62969860422929,2.22501627415927,33.6258826872685
AUS,1999,7.74045760056981,2.90612137459478,26.1848617837518
AUS,2000,8.24114152914467,0.887457375726157,23.0704018496572
AUS,2001,8.04247758597441,-0.148724214409146,22.7368812792198
AUS,2002,7.79783042878417,1.71184806278777,20.462989571559
AUS,2003,8.20494185205459,2.57578766814119,17.4267400920827
AUS,2004,7.88715014014925,1.41811568785593,15.2033842641102
AUS,2005,7.6128593366247,2.21287452950637,13.7230761577874
AUS,2006,7.37642822970681,2.47327507567376,12.4244343813112
AUS,2007,7.20268830284776,1.98621650580044,13.3615235038118
AUS,2008,8.75522517501809,-0.142557611306929,15.897235611425
AUS,2009,7.52390897339767,-4.30305509553157,21.8598648703181
AUS,2010,7.36747643206945,-4.23492748446932,24.6024380675797
AUS,2011,7.43094397556402,-3.89926429746126,29.1121197599573
AUS,2012,7.50986651019892,-3.0421157680681,33.288546867157
AUS,2013,7.64825086457917,-1.84738602807225,34.883894243631
AUS,2014,7.744902765421,-1.75800390763898,38.6449264499087
AUS,2015,7.68658687965721,-1.01963667936103,40.486277006074
AUS,2016,7.13382319055787,-1.55723071402733,43.0902850285734
AUS,2017,6.79234220662362,-0.625536782305774,44.1561768291905
AUS,2018,6.50330017834777,-0.555046354825133,44.3572482090181
AUS,2019,7.36638873511793,-1.20232635330553,46.4724467711761
AUS,2020,7.78398156697935,-11.5320951561936,65.7639709248332
AUS,2021,6.71162741398318,-3.98023885602917,62.6721961610805
AUS,2022,5.66287298253212,-1.419870938411,55.0668825350917
AUS,2023,5.82842779419297,-0.712234942127373,55.7102081665026
AUT,1980,16.42090926,-2.19556422288827,35.83927873560032
AUT,1981,16.86494659,-2.20803260577016,37.60037661977201
AUT,1982,17.19825326,-3.83499126302432,39.96690658018421
AUT,1983,17.32162433,-4.737933118996,44.22501171520908
AUT,1984,17.48831294,-3.0901534794608,46.65348423135482
AUT,1985,17.83247148,-3.23128141294197,48.83792535285917
AUT,1986,17.94220575,-4.33613089207707,53.51793414163073
AUT,1987,18.45595294,-4.97103612580247,57.72674419761587
AUT,1988,18.08699805,-3.68863031395906,58.79246347115761
AUT,1989,17.60273045,-3.30414277399623,57.62057451197757
AUT,1990,17.54958369,-2.73351025032358,57.2116391889198
AUT,1991,17.54110214,-3.16503908548478,57.49884244455258
AUT,1992,17.95757946,-2.16937921004179,57.47569664198927
AUT,1993,19.28439217,-4.70404646196383,61.93698018136473
AUT,1994,19.47229411,-5.22222265634016,65.18256799675203
AUT,1995,19.9766938274524,-6.16962475407786,70.3389971140676
AUT,1996,19.9276568648128,-4.57706309091881,70.7248934524332
AUT,1997,19.2830512615296,-2.62261713370848,66.6667312285745
AUT,1998,18.8999072876282,-2.75534312363677,68.4732612571846
AUT,1999,18.9248984637208,-2.63518311683448,72.3523852891466
AUT,2000,18.7738232657774,-2.40409836979065,72.7543373999117
AUT,2001,18.6099902143,-0.712024142432191,73.8305225440329
AUT,2002,18.8878060767981,-1.42447686079628,77.5892184227472
AUT,2003,19.1429736973158,-1.83812426715179,75.5495440558131
AUT,2004,18.8531198236372,-4.94720844371835,74.8418046387366
AUT,2005,18.4203373920163,-2.58892233621784,82.2380164954525
AUT,2006,18.056120332666,-2.60538168732634,79.6334439869578
AUT,2007,17.4493778919433,-1.36900886249765,76.2734521106621
AUT,2008,17.649854454942,-1.57288874164149,81.8296794445671
AUT,2009,19.1019009824568,-5.38508807217291,94.363973561181
AUT,2010,19.2407357322792,-4.46968191760048,99.2716815254395
AUT,2011,18.5621956942377,-2.48132756436739,99.9161366506341
AUT,2012,18.7201112972589,-2.17745962185693,106.236889753136
AUT,2013,19.1415121550169,-1.99395652680129,103.164386632163
AUT,2014,19.2199450340263,-1.9231100943987,110.581968073295
AUT,2015,19.0188074999961,-0.477214050387815,109.450481300125
AUT,2016,18.7778969699739,-1.45176183194029,108.793021631284
AUT,2017,18.3485121751326,-0.774900860132276,102.22869928916
AUT,2018,17.9923370645155,0.195213513444656,97.0080652384555
AUT,2019,17.9421570155642,0.53643150905677,95.307226335114
AUT,2020,20.32294412024,-8.22204896993194,113.303339889711
AUT,2021,19.4350217370597,-5.69640404382381,106.56166561374
AUT,2022,18.2175722472499,-3.30558942570457,85.1013422257052
AUT,2023,18.5220649499225,-2.61605148050676,86.9764430474205
BEL,1980,17.29007,-10.501382,84.6802831936835
BEL,1981,18.54692,-16.205621,98.7928377198081
BEL,1982,18.75918,-12.606818,109.777353051263
BEL,1983,19.36579,-14.667787,121.415747701431
BEL,1984,18.68449,-10.30359,125.85732775196
BEL,1985,17.82813141,-10.147856,131.036547994684
BEL,1986,17.59099718,-10.068159,136.814311847361
BEL,1987,17.22194577,-7.8768966,141.900375184003
BEL,1988,16.54183437,-7.362053,142.106409421776
BEL,1989,15.91923858,-7.5496861,138.639903124834
BEL,1990,15.7779987,-6.7219031,142.921635556947
BEL,1991,16.26293307,-7.2857935,144.729275507304
BEL,1992,16.37327256,-7.9709152,155.208483505171
BEL,1993,16.6912687,-7.3689503,159.888680806907
BEL,1994,16.34872105,-5.0263357,156.563237614277
BEL,1995,15.6472710463392,-4.5083095,153.603317305863
BEL,1996,15.8239110053755,-4.0025275,151.035551803466
BEL,1997,15.596727375765,-2.1512574,145.145731584176
BEL,1998,15.3247861998643,-1.0248736,139.49247669413
BEL,1999,14.9777390391387,-0.6483495,128.040928142576
BEL,2000,14.5222415167699,-0.0792975,121.712177875967
BEL,2001,14.6745284107396,0.23284864,120.068413239573
BEL,2002,15.1747501151851,-0.0436953,119.563090860984
BEL,2003,15.4170942979415,-1.8641523,115.770614672394
BEL,2004,15.1689729488979,-0.2386971,111.470970424133
BEL,2005,15.0554642404663,-2.7149933,109.19498151192
BEL,2006,14.8478786042814,0.2395807,101.350540086864
BEL,2007,14.7847222606207,0.06643988,95.0030397047427
BEL,2008,15.3711046499562,-1.0953452,102.950563337437
BEL,2009,16.7360250581693,-5.4476844,111.011894405767
BEL,2010,16.4349481227962,-4.1331353,109.431222786767
BEL,2011,16.4163313930677,-4.4415061,111.713594409331
BEL,2012,16.8651492814903,-4.348512,121.325093121271
BEL,2013,17.2914043337794,-3.1635549,118.888707559396
BEL,2014,17.0969949251565,-3.1751664,130.955384789002
BEL,2015,17.0198152756186,-2.4753693,127.704517998354
BEL,2016,17.0039659987896,-2.4308518,129.13278522435
BEL,2017,16.9495443465961,-0.7633392,122.976582918947
BEL,2018,16.84970221449,-1.0483321,120.592532880891
BEL,2019,16.6983317582479,-2.0480138,122.241591840566
BEL,2020,19.7399293456897,-9.0346975,139.417640069779
BEL,2021,17.8980726575382,-5.3960185,129.093691572579
BEL,2022,16.8461677144413,-3.6128172,101.761993215787
BEL,2023,17.2139114429386,-4.18753,104.78880065334
BGR,1990,,,
BGR,1991,,,
BGR,1992,,,
BGR,1993,,,
BGR,1994,,,
BGR,1995,7.0,-5.5,
BGR,1996,7.4,-8.100000381469727,
BGR,1997,8.0,1.5,96.2
BGR,1998,8.9,1.3,67.5
BGR,1999,10.9,0.2,75.3
